"hhid","district","urban","region","regurb","subreg","equiv","hsize","usize","nrrexp30","fnrfxp30","cpexp30","fcpexp30","welfare","plinen","ctpline","hpline","spline","poor_2019","quints","decile","qurban","qregion"
"014de44f6ef44053a6742d1db80fe516",226,0,2,20,4,7.67863324284554,11,12,697681.875,0,393878.9375,0,51295.44921875,11463.4453125,15445.5849609375,30611.45703125,41245.17578125,0,2,4,3,3
"015b2f40827d4d70a5aa4ac958235a78",119,0,1,10,2,1.00483334064484,1,1,255469.109375,147722.875,139611.953125,78911.796875,138940.40625,11463.4453125,15946.951171875,30611.45703125,42584.00390625,0,5,9,5,4
"0192be21a93d4c2d83997fb6dc1c3ea6",115,1,1,11,3,2.61993329226971,4,4,383830.28125,0,217740.421875,0,83109.1484375,11463.4453125,17313.681640625,30611.45703125,46233.65234375,0,4,7,3,3
"01946faa112841669f992ad1c026ddb6",327,0,3,30,8,0.992266654968262,1,1,38700.5078125,17700.505859375,21936.66796875,9698.9072265625,22107.634765625,11463.4453125,15610.2099609375,30611.45703125,41684.78515625,1,,,,
"01c14a909dd54c2088fe1b32e84ae2ec",115,0,1,10,3,3.35916665196419,5,5,304171.71875,0,168974.53125,0,50302.515625,11463.4453125,15946.951171875,30611.45703125,42584.00390625,0,2,4,2,1
"01c6b5639280472aa1dbfea2b7c10c24",417,0,4,40,14,3.36479997634888,5,5,461083.375,0,256889.40625,0,76346.1171875,11463.4453125,15188.53515625,30611.45703125,40558.76171875,0,3,6,4,3
"01dfba97dd29447f9a82aef0f59237de",223,0,2,20,6,4.06293326616287,5,6,460260.90625,0,254129.1875,0,62548.20703125,11463.4453125,15445.5849609375,30611.45703125,41245.17578125,0,3,5,3,4
"01fc2a6821064f528ca01e20dbea8db2",331,0,3,30,10,10.7477666437626,13,13,472627.90625,0,264259.4375,0,24587.380859375,11463.4453125,15610.2099609375,30611.45703125,41684.78515625,1,1,1,1,1
"020fd884bebf40b0a97f2156b8eda1b6",207,0,2,20,7,2.77670001983643,3,4,438188.125,36297.328125,243135.21875,19556.75,87562.65625,11463.4453125,15445.5849609375,30611.45703125,41245.17578125,0,4,7,4,4
"021babeee5f646108cbe9bb3b2a4c485",224,0,2,20,4,3.49426661431789,5,5,396055.375,0,220551.515625,0,63118.11328125,11463.4453125,15445.5849609375,30611.45703125,41245.17578125,0,,,,
"02257a7aa9a94ca9b464e910e2bd642d",417,0,4,40,14,4.92910003662109,6,7,434153.15625,0,242102.828125,0,49117.046875,11463.4453125,15188.53515625,30611.45703125,40558.76171875,0,2,4,2,2
"023400859c2e49d9a0701040d93fa0f2",229,1,2,21,4,9.14713332056999,11,11,891728.6875,0,520817.46875,0,56937.78125,11463.4453125,16547.525390625,30611.45703125,44187.7421875,0,3,5,2,3
"024a80a27283471e857285cf751564ae",111,0,1,10,2,3.17670002579689,4,4,175568.8125,0,97212.265625,0,30601.650390625,11463.4453125,15946.951171875,30611.45703125,42584.00390625,1,1,1,1,1
