"EA_code","t0_EA_code","interview__key","s2cq15","s2cq16","s2cq17","s2cq17_oth","s2cq18","s2cq20","s2cq20_oth","s2cq19a","s2cq19b","s2cq19c","s2cq19c_oth","s2cq21","s2cq22","s2cq25","s2cq25_oth"
"ab0e78b5778048bf9a70403cd622a4ff","3034040404","77-78-65-13",2,2,,,1,2,,,,,,"2000",2,,
"ab459ff868574eccbf2972ff990e7bf9","3201020206","22-22-00-56",3,2,,,1,1,,"1000","1",2,,"20000",2,,
"b0f9243778a344a8a72fc524a6863f9a","1021030306","80-63-59-73",2,2,,,1,1,,"300","1",2,,"30000",1,,
"ae56e2c944ce4a368290a335d0d2a43b","3032020206","24-59-00-53",2,2,,,2,,,,,,,,,,
"af8d7a4a02504bb7821e271ac62d45fd","1081060609","24-46-40-79",1,2,,,1,1,,"100","1",2,,"15000",1,1,
"ae7bb6fd7ff54143ae6ee473fdcc7afc","1121020202","76-04-95-30",2,2,,,2,,,,,,,,,1,
"b1884aea03a844029e86334683703b09","2081020202","47-97-04-43",2,1,2,,1,2,,,,,,"2000",1,96,"Laziness"
"afa09473cbcc44dfbe78de562eaa298f","3062010101","25-20-92-54",1,2,,,1,1,,"200","1",2,,"28000",1,2,
"b1abb00b1ee043ffa3c18766a7d63142",,"53-55-20-69",2,2,,,1,2,,,,,,"2000",1,1,
"aed4071826f04462a59bfabca5d2ca06","1074020202","35-51-00-88",1,2,,,1,1,,"200","1",2,,"24000",1,,
"b01c536bdb1a45b898dab000df0f3267","1133010104","13-55-77-20",2,2,,,1,1,,"200","1",2,,"18000",2,,
"ab713365c71c4bb89d206b8093278f1c","3035030311","72-50-87-06",2,2,,,1,2,,,,,,"1000",2,,
"ac28a7c8f3e745efb2801d1e3304e9a3",,"13-11-99-45",1,2,,,1,1,,"10000","20",2,,"10000",1,1,
"aca7e45fe9774f0781f5651e408038e6","3181030304","74-93-61-60",1,2,,,1,2,,,,,,"500",1,2,
"b20b2988cc4140df81890d31bb284697","1083010101","80-00-26-34",2,2,,,1,2,,,,,,"1000",1,1,
"b32dc85cbfb145db9b0787c8bdf3b7d0","3071080802","89-20-72-11",1,1,2,,1,2,,,,,,"15000",1,4,
"b8dcc618f4c342b3aee3d0ff6ce21e8f",,"71-01-18-75",2,2,,,1,1,,"250","1",2,,"30000",2,,
"b21b3ee4c5394287abdaa88134b11078","11520.0.01","72-13-08-02",2,2,,,1,1,,"200","1",2,,"15000",2,,
"b389c239719a4796854b290e12631dbb","3181070701","81-20-77-29",1,2,,,1,2,,,,,,"1000",1,2,
"b92650e55fb14845840d3f164fba1491","2301090905","54-78-39-35",2,2,,,1,2,,,,,,"1000",1,1,
"b6c40689d08f41cfbcd481e1deb14577","1111020205","81-61-50-13",2,2,,,2,,,,,,,,,4,
"b959c6a261f04e80967f5261a5095c64","1151040404","37-30-82-94",2,2,,,2,,,,,,,,,1,
"b289994ae63440efbf4bd086457f67c8","1073050502","36-87-56-87",2,2,,,2,,,,,,,,,4,
"baa361cd94c74ceb900b4fe3cabbdbba","2191030302","42-83-16-09",1,2,,,2,,,,,,,,,96,"Negligence"
"bc01a17fd5d245e2a35d78b99bb04187","4182090902","59-24-40-04",1,2,,,2,,,,,,,,,,
"bc2bf51e178c42e1bc7de3ade20338d5","1061010102","37-77-55-14",2,1,96,"There is a committee",2,,,,,,,,,,
"bfaec23e25e948f2b4be3e00fb79e2ba","1021030309","90-46-30-94",2,2,,,1,1,,"200","1",2,,"30000",1,,
"be03e0b731204737a2e4f7e0d2030d21","4052111110","28-28-90-63",1,2,,,2,,,,,,,,,,
"c1185221c2d343bb88b3ec950686798c","3022040405","05-72-66-37",2,2,,,2,,,,,,,,,4,
"c05e5755364f4c9eb48addd0418e8f5d","4112030302","88-67-72-87",1,2,,,2,,,,,,,,,,
"c1befc6653a84ef68640bc9923760c39",,"09-41-83-25",,,,,,,,,,,,,,,
"c1b998e93a934a8cb45545fc66b93d36","2321010106","96-93-21-70",3,2,,,1,2,,,,,,"1000",1,4,
"c417d5092fa04356addbe1ab9f6c471d","3251070703","96-05-76-94",4,2,,,2,,,,,,,,,1,
"c0cdc564be864ac698cba75135459a5e","1121020202","21-18-44-50",2,2,,,2,,,,,,,,,1,
"c1dbf4334e904dc1b6b93391efe6de15","1161020201","08-27-94-74",2,2,,,2,,,,,,,,,1,
"bea4b4b78acc42a6a591220eff1ca34e","3022010108","14-85-95-70",2,1,2,,1,2,,,,,,"1000",1,4,
"bedf52b414be4498a687aa04f00db6bf","1021020205","91-10-01-18",2,2,,,1,1,,"300","20",1,,"30000",2,,
"c441996b11764b4a9b89ffa9e072e594","3251030301","33-46-89-47",1,2,,,1,2,,,,,,"500",1,,
