"EA_code","t0_EA_code","interview__key","schoolmeeting_id","s3q39a","s3q38","s3q39b","s3q40","s3q41"
"305b636544344f65aabef33609978907","3251030302","37-68-69-42",1,8,1,2018,1,96
"30a233559a484aa884a3c795efb64cdf","1021050505","83-68-83-41",3,3,1,2018,1,3
"30a233559a484aa884a3c795efb64cdf","1021050505","83-68-83-41",4,9,1,2018,,3
"30a233559a484aa884a3c795efb64cdf","1021050505","83-68-83-41",5,11,1,2018,,1
"30a233559a484aa884a3c795efb64cdf","1021050505","83-68-83-41",2,,2,,,
"30a233559a484aa884a3c795efb64cdf","1021050505","83-68-83-41",1,10,1,2018,1,6
"30fabcc38b1c4f909a0de8b415a2988e","3091030301","72-50-29-68",1,5,1,2018,1,3
"30fabcc38b1c4f909a0de8b415a2988e","3091030301","72-50-29-68",5,,,,,
"30fabcc38b1c4f909a0de8b415a2988e","3091030301","72-50-29-68",2,5,1,2018,1,3
"30fabcc38b1c4f909a0de8b415a2988e","3091030301","72-50-29-68",4,,,,,
"30fabcc38b1c4f909a0de8b415a2988e","3091030301","72-50-29-68",3,4,1,2018,1,3
"31b1bf8fbcc54ee09f83e940546a45b8","2261010102","87-78-01-68",2,11,1,2017,1,3
"31b1bf8fbcc54ee09f83e940546a45b8","2261010102","87-78-01-68",4,9,1,2017,,2
"31b1bf8fbcc54ee09f83e940546a45b8","2261010102","87-78-01-68",1,3,1,2018,1,2
